"","sex","birth","marriage","religion","income","code_job","code_region"
"577",2,2011,0,1,NA,NA,1
"578",1,1974,1,2,200,773,2
"579",2,1981,1,2,NA,NA,2
"580",2,2007,0,2,NA,NA,2
"581",1,1940,1,1,NA,NA,1
"582",2,1943,1,1,NA,NA,1
"583",1,2000,0,1,NA,NA,1
"584",1,1968,3,1,NA,521,1
"585",1,1955,1,1,NA,874,1
"586",2,1961,1,1,151.2,951,1
"587",1,1993,5,1,NA,NA,1
"588",1,1961,1,2,310.5,892,1
"589",2,1961,1,1,NA,NA,1
"590",1,1938,1,1,NA,NA,1
"591",2,1943,1,1,NA,NA,1
"592",1,1979,1,2,291.7,312,1
"593",2,1983,1,2,NA,NA,1
"594",1,2010,0,2,NA,NA,1
"595",1,1945,1,1,NA,254,1
"596",2,1953,1,1,NA,NA,1
"597",2,1918,2,2,NA,NA,1
"598",2,1946,2,2,NA,521,1
"599",2,1947,3,2,NA,NA,1
"600",1,2001,0,2,NA,NA,1
"601",1,1926,1,1,NA,NA,1
"602",2,1935,1,1,NA,NA,1
"603",1,1944,1,2,NA,NA,1
"604",2,1950,1,2,NA,NA,1
"605",1,1978,5,2,600,320,1
"606",2,1979,5,2,201.66,313,1
"607",1,1981,5,2,68,442,1
"608",2,1927,2,1,NA,NA,1
"609",1,1973,5,1,365.3,221,1
"610",1,1943,2,2,NA,NA,1
"611",1,1970,1,1,280,873,1
"612",2,1969,1,1,301.9,313,1
"613",1,1999,0,1,NA,NA,1
"614",1,1930,1,1,NA,NA,1
"615",2,1932,1,1,NA,NA,1
"616",2,1943,2,1,NA,NA,1
"617",1,1979,5,1,NA,721,1
"618",1,1942,1,1,NA,241,1
"619",2,1943,1,1,NA,NA,1
"620",1,1947,1,1,NA,NA,1
"621",2,1948,1,1,NA,NA,1
"622",2,1980,5,1,313,285,1
"623",1,1963,1,1,NA,773,1
"624",2,1961,1,1,50,422,1
"625",1,1937,1,1,20,254,1
"626",2,1937,1,1,NA,NA,1
"627",1,1937,1,2,NA,NA,1
"628",2,1943,1,2,NA,NA,1
"629",1,1936,1,1,NA,NA,1
"630",2,1939,1,1,NA,NA,1
"631",2,1958,1,1,139.58,999,1
"632",1,1988,5,1,150,530,1
"633",1,1969,1,2,373.83,773,1
"634",2,1971,1,2,NA,NA,1
"635",2,2000,0,2,NA,NA,1
"636",2,2002,0,2,NA,NA,1
"637",2,1972,1,2,287.5,239,2
"638",1,1979,1,2,250,221,2
"639",2,2010,0,2,NA,NA,2
"640",1,2012,0,2,NA,NA,2
"641",2,1956,2,1,208.73,442,1
"642",1,1982,5,1,270.3,442,1
"643",1,1945,1,2,NA,141,1
"644",2,1948,1,2,NA,NA,1
"645",2,1954,3,1,95,521,2
"646",1,1974,1,2,550,521,1
"647",2,1974,1,2,NA,442,1
"648",2,2005,0,2,NA,NA,1
"649",1,1963,1,1,245.3,791,1
"650",2,1964,1,1,20,421,1
"651",2,1990,5,1,200.3,245,1
"652",1,1991,5,1,NA,NA,1
"653",2,1935,2,1,NA,NA,1
"654",1,1950,1,1,NA,NA,1
"655",2,1953,1,2,NA,NA,1
"656",2,1987,1,2,NA,NA,1
"657",1,1928,1,2,NA,NA,1
"658",2,1930,1,2,NA,NA,1
"659",2,1958,3,2,147.9,930,1
"660",1,1984,5,2,163,922,1
"661",1,1950,1,2,NA,NA,6
"662",2,1954,1,2,NA,NA,6
"663",1,1977,1,2,672,271,1
"664",2,1979,1,2,286.6,313,1
"665",2,1979,1,2,NA,NA,1
"666",1,2010,0,2,NA,NA,1
"667",1,1980,1,2,375,313,1
"668",2,1969,1,2,NA,NA,2
"669",1,1970,1,2,610,312,2
"670",2,1946,2,1,153,721,1
"671",1,1982,1,1,410,761,2
"672",2,1982,1,1,NA,NA,2
"673",2,2008,0,1,NA,NA,2
"674",2,1949,2,1,67,941,1
"675",1,1975,5,2,180,773,1
"676",2,1997,0,1,NA,NA,1
"677",1,2000,0,1,NA,NA,1
"678",1,1963,1,1,215.5,722,1
"679",2,1973,1,1,NA,NA,1
"680",2,1998,0,1,NA,NA,1
"681",2,2000,0,1,NA,NA,1
"682",2,2004,0,1,NA,NA,1
"683",2,2007,0,1,NA,NA,1
"684",2,1943,2,1,NA,NA,1
"685",1,1932,1,1,NA,NA,1
"686",2,1938,1,1,NA,NA,1
"687",1,1969,5,1,NA,NA,1
"688",2,1930,2,2,NA,NA,1
"689",2,1953,3,1,NA,NA,2
"690",2,1983,1,2,NA,NA,2
"691",2,2013,0,2,NA,NA,2
"692",1,1978,1,2,280,892,2
"693",1,2010,0,2,NA,NA,2
"694",1,1965,1,2,500,235,1
"695",2,1974,1,2,218.3,313,1
"696",2,2004,0,2,NA,NA,1
"697",2,2006,0,2,NA,NA,1
"698",1,1969,1,2,503,311,2
"699",2,1973,1,1,465,252,2
"700",2,2000,0,2,NA,NA,2
"701",1,2003,0,2,NA,NA,2
"702",2,1943,3,2,76.1,941,1
"703",1,1969,1,2,531,411,1
"704",2,1972,1,2,140,259,1
"705",2,2000,0,1,NA,NA,1
"706",2,2002,0,1,NA,NA,1
"707",1,1975,1,2,365.5,852,1
"708",2,1976,1,2,NA,NA,1
"709",1,2004,0,2,NA,NA,1
"710",1,2009,0,2,NA,NA,1
"711",2,1939,2,1,NA,NA,1
"712",1,1969,5,1,NA,NA,1
"713",1,1956,1,2,NA,NA,1
